,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,(GROUPE) ASTEK,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,20 à 49
,123 VENTURE,Siège,PARIS 09,75,6430Z - Fonds de placement et entités financières similaires,50 à 99
,3AB OPTIQUE DEVELOPPEMENT,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,5 INVEST'H,Siège,ASNIERES SUR SEINE,92,6420Z - Activités des sociétés holding,10 à 19
,A.V.S.P. - A VOTRE SERVICE PROPRETE,Siège,VILLENEUVE ST GEORGES,94,6430Z - Fonds de placement et entités financières similaires,10 à 19
,ABERDEEN FRANCE,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,ABN AMRO COMMERCIAL FINANCE,Siège,LEVALLOIS PERRET,92,"6499Z - Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",50 à 99
,ABSA HOLDING,Siège,EPINAY SUR SEINE,93,6420Z - Activités des sociétés holding,20 à 49
,ADC GROUPE,Siège,ST OUEN,93,6430Z - Fonds de placement et entités financières similaires,10 à 19
,ADECCO FRANCE,Etabt second.,MONTROUGE,92,6420Z - Activités des sociétés holding,20 à 49
,ADELYA,Siège,BEZONS,95,6420Z - Activités des sociétés holding,10 à 19
,ADVANCED RETAIL,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,AEGIDE SA,Siège,PARIS 16,75,6420Z - Activités des sociétés holding,20 à 49
,AEGIR,Siège,LE BOURGET,93,6420Z - Activités des sociétés holding,10 à 19
,AEW EUROPE,Siège,PARIS 12,75,6420Z - Activités des sociétés holding,200 à 249
,AGATE,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,20 à 49
,AGENCE FRANCAISE DE DEVELOPPEMENT,Siège,PARIS 12,75,6492Z - Autre distribution de crédit,1000 à 1999
,AGIR SARL,Siège,PARIS 05,75,6420Z - Activités des sociétés holding,10 à 19
,AGRATI SHARED SERVICES CENTER,Siège,CRETEIL,94,6420Z - Activités des sociétés holding,20 à 49
,AGRICA GESTION,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,500 à 999
,AKCB,Siège,ST DENIS,93,6420Z - Activités des sociétés holding,10 à 19
,AKIEM,Siège,CLICHY,92,6420Z - Activités des sociétés holding,20 à 49
,AKKA SERVICES,Etabt second.,GUYANCOURT,78,6420Z - Activités des sociétés holding,10 à 19
,AKKA TECHNOLOGIES,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,AL MANAR CEMENT HOLDING,Siège,PUTEAUX,92,6420Z - Activités des sociétés holding,10 à 19
,ALAN ALLMAN ASSOCIATES,Siège,COURBEVOIE,92,6420Z - Activités des sociétés holding,10 à 19
,ALCEN,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,ALDEA INVESTISSEMENT,Siège,GUYANCOURT,78,6420Z - Activités des sociétés holding,10 à 19
,ALES GROUPE,Siège,BEZONS,95,6420Z - Activités des sociétés holding,100 à 199
,ALHENA PARTICIPATIONS,Siège,PARIS 10,75,6420Z - Activités des sociétés holding,10 à 19
,ALHENA PARTICIPATIONS,Etabt second.,PARIS 17,75,6420Z - Activités des sociétés holding,10 à 19
,ALLIANCE AUTOMOTIVE GROUP,Etabt second.,LEVALLOIS PERRET,92,6420Z - Activités des sociétés holding,20 à 49
,ALLIANCE ENTREPRENDRE,Siège,PARIS 07,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,ALLIANCE HEALTHCARE GROUP FRANCE,Siège,GENNEVILLIERS,92,6420Z - Activités des sociétés holding,10 à 19
,ALMA FRC,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,10 à 19
,ALPAR,Siège,PARIS 01,75,6420Z - Activités des sociétés holding,10 à 19
,ALPHA ASSOCIES CONSEIL,Siège,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,ALTER WAY,Siège,ST CLOUD,92,6420Z - Activités des sociétés holding,10 à 19
,ALUMINIUM PECHINEY,Etabt second.,PARIS 16,75,6420Z - Activités des sociétés holding,20 à 49
,AMIRAL HOLDING SAS,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,10 à 19
,AMUNDI,Siège,PARIS 15,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,ANDROMEDE,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,ANSAMBLE,Etabt second.,MONTROUGE,92,6430Z - Fonds de placement et entités financières similaires,10 à 19
,ANTIN INFRASTRUCTURE PARTNERS,Siège,PARIS 01,75,6430Z - Fonds de placement et entités financières similaires,20 à 49
,APAVE,Siège,PARIS 15,75,6420Z - Activités des sociétés holding,50 à 99
,APIA C.S.,Siège,PARIS 11,75,6420Z - Activités des sociétés holding,20 à 49
,AQUALABO CONTROLE,Siège,CHAMPIGNY SUR MARNE,94,"6499Z - Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",20 à 49
,ARDIAN HOLDING,Siège,PARIS 01,75,6420Z - Activités des sociétés holding,10 à 19
,AREVA,Siège,COURBEVOIE,92,6420Z - Activités des sociétés holding,100 à 199
,AREVA BUSINESS SUPPORT,Siège,COURBEVOIE,92,6420Z - Activités des sociétés holding,1000 à 1999
,ARJOWIGGINS,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,10 à 19
,ARROS DEVELOPPEMENT,Siège,ANTONY,92,6420Z - Activités des sociétés holding,10 à 19
,ARTELIA,Etabt second.,ST DENIS,93,6420Z - Activités des sociétés holding,50 à 99
,ARTELIA,Etabt second.,CHOISY LE ROI,94,6420Z - Activités des sociétés holding,10 à 19
,ASAH LM,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,ASF HOLDING,Siège,RUEIL MALMAISON,92,6420Z - Activités des sociétés holding,10 à 19
,ASTEELFLASH FRANCE,Siège,NEUILLY PLAISANCE,93,6420Z - Activités des sociétés holding,20 à 49
,ATALIAN CLEANING,Siège,PARIS 19,75,6420Z - Activités des sociétés holding,20 à 49
,AU PRESTIGE DE NOGENT,Siège,FONTENAY SOUS BOIS,94,6420Z - Activités des sociétés holding,10 à 19
,AUTODIS GROUP,Siège,ARCUEIL,94,6430Z - Fonds de placement et entités financières similaires,20 à 49
,AUXIFIP,Siège,MONTROUGE,92,6491Z - Crédit-bail,10 à 19
,AUXILIAIRE D'ENTREPRISES,Siège,CHEVILLY LARUE,94,6420Z - Activités des sociétés holding,10 à 19
,AVENTURE SCIENTIFIQUE,Siège,BAGNEUX,92,6420Z - Activités des sociétés holding,10 à 19
,AVRIL,Etabt second.,COURBEVOIE,92,6420Z - Activités des sociétés holding,10 à 19
,AXA INVESTMENT MANAGERS,Siège,COURBEVOIE,92,6420Z - Activités des sociétés holding,100 à 199
,AXA REAL ESTATE INVESTMENT MANAGERS,Siège,PUTEAUX,92,6420Z - Activités des sociétés holding,20 à 49
,AXELTIS,Siège,PARIS 12,75,6430Z - Fonds de placement et entités financières similaires,20 à 49
,AXIOM & CIE,Etabt second.,BOULOGNE BILLANCOURT,92,6430Z - Fonds de placement et entités financières similaires,20 à 49
,BABYLISS HOLDING SAS,Siège,MONTROUGE,92,6420Z - Activités des sociétés holding,10 à 19
,BARCLAYS PATRIMOINE,Etabt second.,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,20 à 49
,BARCLAYS PATRIMOINE,Etabt second.,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,20 à 49
,BATISANTE FINANCES,Siège,NEUILLY PLAISANCE,93,6420Z - Activités des sociétés holding,20 à 49
,BBR ROGIER,Siège,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,BDL CAPITAL MANAGEMENT,Siège,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,20 à 49
,BELAMBRA HOLDING,Siège,BOURG LA REINE,92,6420Z - Activités des sociétés holding,50 à 99
,BELHARA INVESTISSEMENT,Siège,GUYANCOURT,78,6420Z - Activités des sociétés holding,10 à 19
,BERARD GROUPE,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,BERTRAND HOLDING,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,10 à 19
,BFORBANK,Siège,COURBEVOIE,92,6420Z - Activités des sociétés holding,100 à 199
,BGA INVESTISSEMENTS,Siège,LEVALLOIS PERRET,92,6420Z - Activités des sociétés holding,20 à 49
,BGME FINANCES,Siège,PARIS 09,75,6420Z - Activités des sociétés holding,20 à 49
,BIO-RAD FRANCE HOLDING,Siège,MARNES LA COQUETTE,92,6420Z - Activités des sociétés holding,500 à 999
,BLACK CODE,Siège,PARIS 02,75,6420Z - Activités des sociétés holding,10 à 19
,BMW FINANCE,Siège,GUYANCOURT,78,6492Z - Autre distribution de crédit,100 à 199
,BNP PARIBAS ARBITRAGE,Etabt second.,PARIS 19,75,6430Z - Fonds de placement et entités financières similaires,1000 à 1999
,BNP PARIBAS DEALING SERVICES,Etabt second.,PARIS 09,75,"6499Z - Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",50 à 99
,BNP PARIBAS FACTOR,Etabt second.,PUTEAUX,92,"6499Z - Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",50 à 99
,BNP PARIBAS FACTOR,Etabt second.,PUTEAUX,92,"6499Z - Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",100 à 199
,BNP PARIBAS FACTOR,Siège,PUTEAUX,92,"6499Z - Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",50 à 99
,BNP PARIBAS FUND SERVICES FRANCE,Etabt second.,PANTIN,93,"6499Z - Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",100 à 199
,BNP PARIBAS INVESTMENT PARTNERS,Siège,PARIS 09,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,BOA-FRANCE,Siège,PARIS 08,75,6492Z - Autre distribution de crédit,10 à 19
,BODIN FRERES,Siège,PARIS 14,75,6420Z - Activités des sociétés holding,10 à 19
,BOLLORE AFRICA LOGISTICS,Etabt second.,SURESNES,92,6420Z - Activités des sociétés holding,50 à 99
,BONNA SABLA,Etabt second.,PUTEAUX,92,6420Z - Activités des sociétés holding,20 à 49
,BOUCHERON HOLDING,Etabt second.,PARIS 02,75,6420Z - Activités des sociétés holding,20 à 49
,BOUIGUE DEVELOPPEMENT,Siège,PARIS 09,75,6420Z - Activités des sociétés holding,10 à 19
,BPCE INTERNATIONAL ET OUTRE-MER,Siège,PARIS 13,75,6420Z - Activités des sociétés holding,100 à 199
,BPCE SERVICES,Siège,PARIS 13,75,6420Z - Activités des sociétés holding,10 à 19
,BPIFRANCE FINANCEMENT,Etabt second.,PARIS 09,75,6492Z - Autre distribution de crédit,100 à 199
,BPIFRANCE FINANCEMENT,Etabt second.,PUTEAUX,92,6492Z - Autre distribution de crédit,20 à 49
,BPIFRANCE FINANCEMENT,Siège,MAISONS ALFORT,94,6492Z - Autre distribution de crédit,500 à 999
,BPIFRANCE FINANCEMENT,Etabt second.,NOISY LE GRAND,93,6492Z - Autre distribution de crédit,50 à 99
,BPIFRANCE INVESTISSEMENT,Siège,PARIS 09,75,6420Z - Activités des sociétés holding,100 à 199
,BRYAN GARNIER AND CO LIMITED,Siège,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,50 à 99
,C.P.C. PACKAGING,Etabt second.,MONTREUIL,93,6420Z - Activités des sociétés holding,10 à 19
,C2C,Siège,PARIS 09,75,6492Z - Autre distribution de crédit,100 à 199
,CA PAIEMENT,Etabt second.,GUYANCOURT,78,6420Z - Activités des sociétés holding,50 à 99
,CABOSSE & ASSOCIES,Siège,ISSY LES MOULINEAUX,92,6420Z - Activités des sociétés holding,20 à 49
,CACEIS,Siège,PARIS 13,75,6430Z - Fonds de placement et entités financières similaires,50 à 99
,CAFE GEORGE V,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,50 à 99
,CAMERON FRANCE INVESTISSEMENT,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,20 à 49
,CAP'INVEST,Siège,ST CLOUD,92,6420Z - Activités des sociétés holding,10 à 19
,CAPA DEVELOPPEMENT,Siège,PARIS 15,75,6420Z - Activités des sociétés holding,10 à 19
,CARREFOUR BANQUE,Etabt second.,ROSNY SOUS BOIS,93,6492Z - Autre distribution de crédit,10 à 19
,CARREFOUR BANQUE,Etabt second.,MONTIGNY LES CORMEILLES,95,6492Z - Autre distribution de crédit,10 à 19
,CARREFOUR BANQUE,Etabt second.,SEVRAN,93,6492Z - Autre distribution de crédit,10 à 19
,CARREFOUR BANQUE,Etabt second.,ST BRICE SOUS FORET,95,6492Z - Autre distribution de crédit,10 à 19
,CARREFOUR BANQUE,Etabt second.,AULNAY SOUS BOIS,93,6492Z - Autre distribution de crédit,10 à 19
,CARREFOUR BANQUE,Etabt second.,CRETEIL,94,6492Z - Autre distribution de crédit,10 à 19
,CATALYST CAPITAL FRANCE,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CATE,Siège,LE KREMLIN BICETRE,94,6420Z - Activités des sociétés holding,10 à 19
,CATERPILLAR FINANCE FRANCE,Siège,ST DENIS,93,6491Z - Crédit-bail,20 à 49
,CAUTIALIS,Siège,PARIS 08,75,6492Z - Autre distribution de crédit,10 à 19
,CCNS,Etabt second.,CHEVILLY LARUE,94,6420Z - Activités des sociétés holding,10 à 19
,CDC INFRASTRUCTURE,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CDC INNOVATION,Siège,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,CEREA GESTION,Siège,PARIS 16,75,6420Z - Activités des sociétés holding,10 à 19
,CHAFFOTEAUX,Siège,ST DENIS,93,6430Z - Fonds de placement et entités financières similaires,100 à 199
,CHEZ 96,Siège,PARIS 11,75,6420Z - Activités des sociétés holding,10 à 19
,CHEZ RASPOUTINE,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CHIMIREC DEVELOPPEMENT,Siège,DUGNY,93,6420Z - Activités des sociétés holding,10 à 19
,CIBLE FINANCIERE,Etabt second.,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CIE FINANCIERE DU 37 AV DE FRIEDLAND,Siège,PARIS 01,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,CIE GENERALE DE LOCATION D'EQUIPEMENTS,Etabt second.,TREMBLAY EN FRANCE,93,6491Z - Crédit-bail,20 à 49
,CIE POUR LE FINANCEMENT DES LOISIRS,Siège,PARIS 08,75,6492Z - Autre distribution de crédit,20 à 49
,CL SA,Siège,COURBEVOIE,92,6420Z - Activités des sociétés holding,20 à 49
,CLEAR CHANNEL FRANCE,Etabt second.,PARIS 09,75,6420Z - Activités des sociétés holding,20 à 49
,CLEAR HOLDING,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,50 à 99
,CM - CIC BAIL,Siège,PARIS 02,75,6491Z - Crédit-bail,20 à 49
,CM-CIC CAPITAL PRIVE,Siège,PARIS 02,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,CM-CIC EPARGNE SALARIALE,Etabt second.,CERGY,95,6430Z - Fonds de placement et entités financières similaires,50 à 99
,CM-CIC EPARGNE SALARIALE,Siège,PARIS 02,75,6430Z - Fonds de placement et entités financières similaires,20 à 49
,CM-CIC FACTOR,Siège,PUTEAUX,92,6492Z - Autre distribution de crédit,200 à 249
,CMCIC LEASE,Siège,PARIS 02,75,6491Z - Crédit-bail,10 à 19
,CMV MEDIFORCE,Etabt second.,SEVRES,92,6491Z - Crédit-bail,50 à 99
,CMV MEDIFORCE,Etabt second.,LEVALLOIS PERRET,92,6491Z - Crédit-bail,50 à 99
,COFACREDIT,Siège,PUTEAUX,92,6492Z - Autre distribution de crédit,50 à 99
,COFICA BAIL,Etabt second.,SEVRES,92,6491Z - Crédit-bail,10 à 19
,COFILEAD,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,20 à 49
,COGEFI GESTION,Siège,PARIS 09,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,COMMUNICATION ET DEVELOPPEMENT SOCIAL,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,COMPAGNIE DE DISTRIBUTION EUROPEENNE,Siège,PARIS 15,75,6420Z - Activités des sociétés holding,10 à 19
,COMPAGNIE POUR LA COMMUNICATION SA,Etabt second.,MONTREUIL,93,6420Z - Activités des sociétés holding,10 à 19
,CONCERTO FINANCE,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CONCORDE,Siège,PARIS 12,75,6420Z - Activités des sociétés holding,10 à 19
,CONCORDE MANAGEMENT COMPANY,Etabt second.,PUTEAUX,92,6420Z - Activités des sociétés holding,10 à 19
,CONSORTIUM FRANCAIS DE L'HABITATION,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,200 à 249
,CONSTELLIUM FRANCE HOLDCO,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CONSTRUCTA,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,COPAG,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CORIANCE MANAGEMENT,Siège,NOISY LE GRAND,93,6420Z - Activités des sociétés holding,10 à 19
,COUSIN LEVAGE,Etabt second.,LA COURNEUVE,93,6420Z - Activités des sociétés holding,10 à 19
,COVENTYA HOLDING,Siège,VILLENEUVE LA GARENNE,92,6420Z - Activités des sociétés holding,10 à 19
,CREDIT AGRICOLE ASSURANCES,Etabt second.,PARIS 15,75,6420Z - Activités des sociétés holding,500 à 999
,CREDIT AGRICOLE IMMOBILIER ENTREPRISE,Siège,MONTROUGE,92,6420Z - Activités des sociétés holding,10 à 19
,CREDIT AGRICOLE LEASING & FACTORING,Etabt second.,PARIS 12,75,6492Z - Autre distribution de crédit,50 à 99
,CREDIT AGRICOLE PRIVATE BANKING,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,50 à 99
,CREDIT ET SERVICES FINANCIERS,Siège,PARIS 09,75,6492Z - Autre distribution de crédit,50 à 99
,CREDIT FONCIER DE FRANCE,Etabt second.,CERGY,95,6492Z - Autre distribution de crédit,20 à 49
,CREDIT IMMOBILIER DE FRANCE IDF,Siège,PARIS 09,75,6492Z - Autre distribution de crédit,100 à 199
,CREDIT IMMOBILIER FRANCE DEVELOPPEMENT,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,10 à 19
,CREDIT LOGEMENT,Siège,PARIS 03,75,6492Z - Autre distribution de crédit,250 à 499
,CREDIT SUISSE SECURITIES EUROPE LTD,Etabt second.,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,100 à 199
,CRH FRANCE DISTRIBUTION,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,10 à 19
,CT FINANCES,Etabt second.,LEVALLOIS PERRET,92,6420Z - Activités des sociétés holding,20 à 49
,CT FINANCES,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,20 à 49
,D.P.L.E.,Siège,NEUILLY SUR SEINE,92,6420Z - Activités des sociétés holding,50 à 99
,D.W.L FRANCE,Siège,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,DAT-SCHAUB FRANCE,Siège,THIAIS,94,6420Z - Activités des sociétés holding,100 à 199
,DATALOG FINANCE,Siège,PARIS 13,75,6420Z - Activités des sociétés holding,20 à 49
,DC EXPANSION,Siège,PARIS 16,75,6420Z - Activités des sociétés holding,10 à 19
,DDB LINK,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,20 à 49
,DE LAGE LANDEN LEASING,Etabt second.,COURBEVOIE,92,6491Z - Crédit-bail,20 à 49
,DELPHARM HOLDING,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,10 à 19
,DEM1,Siège,CLICHY,92,6420Z - Activités des sociétés holding,20 à 49
,DENIS PINAULT RESTAURATION,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,10 à 19
,DESSANGE INTERNATIONAL,Etabt second.,PARIS 08,75,6420Z - Activités des sociétés holding,20 à 49
,DEUTSCH,Siège,PONTOISE,95,6430Z - Fonds de placement et entités financières similaires,10 à 19
,DEUTSCHE LEASING FRANCE SAS,Siège,RUEIL MALMAISON,92,6491Z - Crédit-bail,10 à 19
,DEXIA CREDIT LOCAL,Siège,COURBEVOIE,92,6492Z - Autre distribution de crédit,500 à 999
,DFM CAPITAL,Siège,CRETEIL,94,6420Z - Activités des sociétés holding,10 à 19
,DHI COMPANY,Siège,PARIS 17,75,6420Z - Activités des sociétés holding,10 à 19
,DIAC,Etabt second.,LE PLESSIS ROBINSON,92,6492Z - Autre distribution de crédit,10 à 19
,DIAC,Etabt second.,BOULOGNE BILLANCOURT,92,6492Z - Autre distribution de crédit,10 à 19
,DIAC,Etabt second.,ST CLOUD,92,6492Z - Autre distribution de crédit,100 à 199
,DIAC,Etabt second.,LE PLESSIS ROBINSON,92,6492Z - Autre distribution de crédit,20 à 49
,DIAC,Siège,NOISY LE GRAND,93,6492Z - Autre distribution de crédit,500 à 999
,DIAGEO FRANCE,Siège,PARIS 02,75,6420Z - Activités des sociétés holding,10 à 19
,DISCOVER THE WORLD FRANCE,Siège,PARIS 09,75,6420Z - Activités des sociétés holding,10 à 19
,DL SOFTWARE,Siège,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,DMA GESTION,Siège,CROISSY SUR SEINE,78,6420Z - Activités des sociétés holding,10 à 19
,DOCAPOST,Siège,CHARENTON LE PONT,94,6420Z - Activités des sociétés holding,20 à 49
,DOMIA GROUP,Siège,PARIS 08,75,6420Z - Activités des sociétés holding,20 à 49
,DOMITYS NORD-OUEST,Siège,PARIS 16,75,6420Z - Activités des sociétés holding,10 à 19
,DOMOFINANCE,Etabt second.,LEVALLOIS PERRET,92,6492Z - Autre distribution de crédit,20 à 49
,DOMOFINANCE,Etabt second.,LEVALLOIS PERRET,92,6492Z - Autre distribution de crédit,10 à 19
,DOMOSYS FINANCE,Siège,LOUVECIENNES,78,6420Z - Activités des sociétés holding,10 à 19
,DORMA GROUPE FRANCE,Siège,CRETEIL,94,6420Z - Activités des sociétés holding,20 à 49
,DRAGON ROUGE,Siège,SURESNES,92,6420Z - Activités des sociétés holding,20 à 49
,DROUOT PATRIMOINE,Siège,PARIS 09,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,DS SMITH PACKAGING CORRUGATED SERVICES,Siège,PUTEAUX,92,6420Z - Activités des sociétés holding,20 à 49
,DUMEZ CONSTRUCTION,Siège,RUEIL MALMAISON,92,6420Z - Activités des sociétés holding,250 à 499
,DYNAMIS S A,Siège,PARIS 16,75,6420Z - Activités des sociétés holding,10 à 19
,E I M,Siège,PARIS 16,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,EAU ECARLATE,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,20 à 49
,EBI SA,Siège,PUTEAUX,92,6492Z - Autre distribution de crédit,50 à 99
,ECLOR FINANCIERES,Siège,ISSY LES MOULINEAUX,92,6420Z - Activités des sociétés holding,10 à 19
,EDENRED SA,Siège,MALAKOFF,92,6420Z - Activités des sociétés holding,100 à 199
,EDMOND DE ROTHSCHILD INVESTMENT,Siège,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,20 à 49
,EDP RENEWABLES FRANCE,Siège,PARIS 12,75,6420Z - Activités des sociétés holding,10 à 19
,EDUSERVICES,Siège,PARIS 09,75,6420Z - Activités des sociétés holding,10 à 19
,EGIS,Siège,GUYANCOURT,78,6420Z - Activités des sociétés holding,100 à 199
,EGM,Siège,PARIS 18,75,6420Z - Activités des sociétés holding,10 à 19
,EIFFAGE CONSTRUCTION IDF,Siège,VELIZY VILLACOUBLAY,78,6420Z - Activités des sociétés holding,50 à 99
,EKIS,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,10 à 19
,EL RANCHO,Siège,CRETEIL,94,6420Z - Activités des sociétés holding,10 à 19
,ELIOR,Siège,PARIS 12,75,6430Z - Fonds de placement et entités financières similaires,20 à 49
,ELITECH GROUP SAS,Siège,PUTEAUX,92,"6499Z - Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",20 à 49
,ELIXENS,Siège,PARIS 13,75,6420Z - Activités des sociétés holding,10 à 19
,ELSEVIER HOLDING FRANCE,Etabt second.,PARIS 02,75,6420Z - Activités des sociétés holding,10 à 19
,EMIL FREY FRANCE,Siège,ST OUEN L AUMONE,95,6420Z - Activités des sociétés holding,20 à 49
,EMVEST INTERNATIONAL,Siège,LEVALLOIS PERRET,92,6420Z - Activités des sociétés holding,10 à 19
,ENTHECA FINANCE,Etabt second.,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,EOLE 79,Siège,PARIS 08,75,6492Z - Autre distribution de crédit,10 à 19
,ERANOVE,Siège,PARIS 01,75,6420Z - Activités des sociétés holding,10 à 19
,ERANOVE,Etabt second.,GUYANCOURT,78,6420Z - Activités des sociétés holding,10 à 19
,ERSADIS,Etabt second.,VITRY SUR SEINE,94,6420Z - Activités des sociétés holding,10 à 19
,ESL EQUITY,Siège,IVRY SUR SEINE,94,6420Z - Activités des sociétés holding,20 à 49
,EULER HERMES CREDIT FRANCE,Etabt second.,GENTILLY,94,6492Z - Autre distribution de crédit,10 à 19
,EULER HERMES CREDIT FRANCE,Siège,NANTERRE,92,6492Z - Autre distribution de crédit,100 à 199
,EULER HERMES CREDIT FRANCE,Etabt second.,RUEIL MALMAISON,92,6492Z - Autre distribution de crédit,10 à 19
,EULER HERMES CREDIT FRANCE,Etabt second.,PARIS 16,75,6492Z - Autre distribution de crédit,10 à 19
,EULER HERMES CREDIT FRANCE,Etabt second.,RUEIL MALMAISON,92,6492Z - Autre distribution de crédit,10 à 19
,EURIS,Etabt second.,PARIS 08,75,6430Z - Fonds de placement et entités financières similaires,10 à 19
,EUROPEAN FLIGHT SERVICES,Siège,TREMBLAY EN FRANCE,93,6430Z - Fonds de placement et entités financières similaires,20 à 49
,EUROPEAN HOMES,Siège,PARIS 01,75,6420Z - Activités des sociétés holding,20 à 49
,EUROPEAN PHARMACEUTICAL PROMOTION,Siège,ST CLOUD,92,6420Z - Activités des sociétés holding,10 à 19
